Grade	Subject	Mandatory	Details
4	Global Perspectives (Cambridge)	No	"Stage 4 Global Perspectives tasks have students engaging more independently in project work and considering data presentation and patterns in their research. They undertake challenges that might involve local and global comparisons, often requiring them to gather and present information in a structured format. For example, a challenge could be “Healthy Eating Habits”: students might survey their classmates about their daily fruit/vegetable intake, present the data in a chart, and compare it with recommended guidelines or with data from another country (perhaps provided by the teacher). Skills – Collaboration: They now take on more defined roles in a team (e.g. leader, note-taker, presenter) and work on longer projects over multiple lessons, testing their ability to cooperate over time. Research: They use slightly more advanced sources – maybe reading a child-friendly article or looking at a simple website (under guidance) to gather facts. They might conduct an interview with someone (like a family member who lived abroad or a school staff) to gain perspective. Analysis and Evaluation: Students in Grade 4 learn to interpret their findings – for instance, identifying patterns or trends in their data and starting to question why (“Our class wastes X liters of water a day – why do we waste so much? What could we do differently?”). They also evaluate sources at a basic level – recognizing that some information might be from an expert, some from opinion, etc. Reflection: They reflect on their own contribution and what they learned from others. For example, after a project, they might write or discuss “What did I do well in my group? What could I do better next time?” Communication: Presentation skills are honed – perhaps they create a simple poster or a slide presentation and each member speaks about one part. They are encouraged to speak clearly and respond to audience questions. By the end of Grade 4, students are more adept at investigating issues that have both personal and global dimensions (like how climate change might affect their town and also other countries, or how access to education differs globally). They have practiced the full cycle of a small research project: planning, researching, analyzing, presenting, and reflecting. These experiences strengthen their critical thinking and prepare them for even more student-led inquiry in Stage 5."
4	Computing / ICT	No	"In Grade 4, students deepen their understanding of both practical ICT skills and foundational computer science concepts. ICT Skills: They become proficient in common applications. For instance, they might learn to create and format a document with headings, bullets, and images (word processing), make a short presentation with 4–5 slides including text, pictures, maybe a slide transition (presentation software), or use a spreadsheet at a basic level (entering numbers and using it like a table, possibly introducing the concept of a cell and maybe simple sums). They practice using search engines effectively: choosing relevant keywords, skimming search results, and evaluating if a source looks reliable or intended for kids. They also talk about digital citizenship – Grade 4 might address topics like cyberbullying (what to do if someone says mean things online), keeping personal information private online, and understanding that not everything on the internet is true (introduction to fact-checking). Programming: Coding tasks become more ambitious. Using an environment like Scratch, students can create games or interactive stories with multiple sprites and backdrops. They learn programming concepts such as loops (repeat actions), conditions (“if... then” decisions), and possibly variables (a simple use, like keeping score in a game). For example, a Grade 4 student might program a Scratch game where a character collects apples and the score increases – this involves variables for score and conditional logic for when the character touches an apple. They also learn to break down problems (decompose tasks) and write algorithms in pseudo-code or flowcharts before coding. Robotics/Physical Computing: Some curricula introduce basic robotics or physical computing (like using Micro:bit or Lego robotics kits) where students write code that makes a small device do something (e.g. turn on an LED light, move a robot). Computational Thinking: They engage in unplugged activities that foster logic and problem solving – e.g. solving puzzles, learning about binary numbers in a fun way, or debugging a pre-written program with errors. By the end of Grade 4, students should be comfortable with essential computer operations, know how to create and save work in different formats, and have written code that includes sequences, loops, and conditionals. They understand the importance of using technology safely and ethically. This sets the stage for more complex tasks in Grade 5, such as designing multi-step projects, using more advanced features of software, or diving deeper into how computers work."
4	Art & Design	No	"In Grade 4, art instruction often becomes more structured in teaching techniques while also encouraging individual expression. Drawing & Painting: Students learn about proportion in drawing more formally – for example, how to draw human faces or figures with correct proportions (using guidelines, understanding where eyes, nose, mouth generally align on a face). They practice perspective drawing: perhaps one-point perspective (drawing a road or railway tracks that converge at a point on the horizon) to create the illusion of depth. Color Theory: They might learn about warm vs. cool colors and how color can affect mood in artwork. They also explore mixing tertiary colors and complementary colors (and observe how opposite colors on the color wheel interact). Three-Dimensional Art: Projects could include sculpture with more detail – like using clay to sculpt a figure or an animal with attention to texture and form, or constructing something using mixed media (cardboard, wire, papier-mâché). They learn techniques for joining materials (using wire armatures, slots and tabs for cardboard, etc.). Printmaking & Design: Grade 4 may introduce printing techniques like linoleum block printing (with close teacher supervision) or more complex stamp making, which requires planning a mirror image and carving/pressing with care. They might also do textile arts such as simple embroidery or fabric dyeing (tie-dye) to learn pattern design. Art History & Critique: Students study art from different periods. For example, they might look at Renaissance art vs. Impressionist art and discuss differences in style (realistic vs. use of light and color). They could also explore Greek art history given context (like Classical column orders Doric/Ionic/Corinthian, or Byzantine mosaics) as part of cross-curricular learning with history. They learn to use art vocabulary: perspective, balance, contrast, emphasis, background/foreground, etc., to both describe and analyze artworks. They are encouraged to give constructive feedback to peers (e.g. “Your use of shading made the mountain look 3D, which is great. Maybe you could add more texture to the trees.”). Projects: By the end of Grade 4, students often undertake an extended art project that involves planning, drafting, and final execution (for example, designing a poster for a school event by sketching ideas, choosing the best, and creating a polished final poster). They demonstrate more independence and personal style in their art. Overall, Grade 4 art students can draw more realistically, employ perspective and shading, mix colors thoughtfully, and have an appreciation of various artistic styles and cultural art forms. They also show improved craftsmanship and the ability to follow through multi-step art tasks."
4	Music	No	"Grade 4 music brings more ensemble experience and theoretical knowledge. Theory: Students learn to read and use standard notation to a greater extent. They can read melodies on the treble clef that span an octave or more and understand rhythmic values down to sixteenth notes (semiquavers) perhaps. They learn about key signatures for simple keys (C major, G major with one sharp, F major with one flat, for instance) and the concept of a scale. Instrumental Performance: Many continue with recorder or start another melodic instrument (some schools introduce ukulele or keep using xylophones/glockenspiels). By the end of Grade 4, a recorder player might play songs that use 6-7 notes (covering most of the C-major scale). Ensemble work increases: they might have a class ensemble where some play recorder melody, others play chord accompaniment on xylophones, and some play rhythm on drums – coordinating three layers of music. Vocal Music: Students are able to sing in harmony in a simple choir setting. They might sing partner songs (two different songs that fit together), rounds in four parts, or easy two-part choral pieces (soprano/alto division among children). They work on breathing technique and diction so that lyrics are understandable. Their repertoire could include songs in other languages or more complex songs from musical plays, etc. Music Appreciation: Grade 4 might cover identifying instrument families (strings, woodwinds, brass, percussion) by sound, and they might attend or watch a concert (live or video) to see an orchestra in action. They could learn about famous composers (Beethoven, Mozart, etc.) and be able to recognize a famous piece or two (like Beethoven’s “Ode to Joy” or Mozart’s “Eine kleine Nachtmusik”). Composition: Students may attempt composing a simple melody or ostinato of their own using notation. For example, they might write an 8-measure melody in C major using quarter and eighth notes, and perhaps even have a chance to perform or have it played by classmates. Technology in Music: If available, they might use basic music software or keyboards that show notation, to reinforce learning. By the end of Grade 4, students should be musically literate at an elementary level – they know note names, can keep time in common meters like 4/4 and 3/4, and can perform in an ensemble with awareness of others. They have greater confidence playing and singing and have begun to form opinions about music (expressing why they like a piece or how it makes them feel using musical vocabulary like “tempo” or “dynamics”)."
4	Physical Education (PE)	No	"In Grade 4, PE often starts resembling structured sports and advanced physical challenges. Team Sports: Students learn the rules and basic strategies of common sports (soccer, basketball, relay track events, etc.) and engage in modified game play. For example, in soccer, they practice dribbling, passing, shooting with more precision and then play scrimmage games on smaller fields. In basketball, they practice dribbling while moving, doing layups, and play 3-on-3 or 5-on-5 half-court games following simplified rules (no double-dribble, basic fouls). They learn positions conceptually (offense/defense) and the idea of teamwork (passing rather than just solo play). Advanced Motor Skills: Skills like dodging and feinting, hand-eye coordination for catching smaller/faster objects (tennis balls, flying discs), and foot-eye coordination (kicking a moving ball, juggling a soccer ball a couple of times) are developed. They might also try introductory track & field events like a 50m sprint, longer runs (maybe 400m, building endurance), long jump, or shot put (with light weights) to gauge and improve personal fitness. Gymnastics: In Grade 4, gymnastics tasks get more challenging: students might practice a sequence on a balance beam (low height) including walking, turning, small hops; they might learn a backward roll in addition to forward roll, attempt a handstand against a wall or a cartwheel unassisted if they haven’t before, and put together a floor routine (possibly in groups) with elements of tumbling, balances, and creative movement. Health & Fitness Knowledge: They learn about heart rate – maybe measuring their pulse after activity – and how regular exercise benefits the heart and muscles. They also talk about nutrition basics (identifying healthy vs. unhealthy snacks) and the importance of staying hydrated. Personal and Social Responsibility: At this age, students are often given more responsibility like leading a warm-up routine for the class, or being a team captain who helps organize teammates. They learn about fair play on a deeper level: respecting referees’ decisions, being gracious in defeat, and including everyone (no bullying in sports). They are also taught how to handle minor injuries (like what to do if you twist an ankle – rest, see teacher, etc.). By the end of Grade 4, children are more athletic: most can run a sustained longer distance (like 1 km) without walking, perform combinations of movements fluidly (like a run-and-jump for distance, or catching while on the move), and show good accuracy in throwing/kicking toward a target. They understand and can follow the rules of several sports and can function as part of a team, demonstrating cooperation and communication on the field. They’re developing a sense of sportsmanship and know how to win or lose with respect for others."
5	English (Literacy)	Yes	"In Grade 5 (Cambridge Stage 5), students refine their reading comprehension and writing styles, dealing with more complex texts and abstract language. Reading: Students now engage with idiomatic expressions and figurative language in their reading. They read novels appropriate for their age (often middle-grade novels with deeper themes), as well as a variety of texts like newspapers articles, persuasive essays, and poetry. They practice identifying the author’s purpose and viewpoint in a text. They analyze figurative language – for example, identifying similes and metaphors in a poem or story and discussing what they imply. They also might read and interpret simple personification in literature (e.g. “the wind whispered”). By year’s end, they should be comfortable inferring meaning and drawing conclusions from what they read (e.g. understanding character motivation that is implied but not stated). Writing: Grade 5 has students write for a variety of purposes – letters, reports, narratives, fables, playscripts, persuasive pieces. They are taught to tailor their writing style to the genre: e.g. a report should be objective and well-structured with headings, whereas a story can be creative and descriptive. They experiment with figurative language in their own writing – using metaphors or similes to make it more vivid (e.g. “The night was as quiet as an empty church”). They learn to write formal letters (like a letter to a principal or a business) with correct formatting, and persuasive essays where they present arguments with supporting points (e.g. convincing someone to protect the environment, including reasons and examples). They also continue developing narrative skills, possibly writing their own myth, mystery, or adventure story with well-developed plot and characters. Emphasis is placed on drafting, revising, and editing their work – they learn to critique their own writing and others’ constructively. Grammar and Mechanics: By Grade 5, students are expected to use advanced punctuation like quotation marks, commas for clauses, apostrophes for possession correctly. They also learn complex sentence structures – e.g. using subordinate clauses (“Although it was raining, we still went outside”) and ensuring subject-verb agreement in tricky cases (like with collective nouns or indeterminate pronouns). They gain more practice with direct vs indirect speech, perhaps even writing a short piece in each to see the difference. Spelling expectations include most words they commonly use and some challenge words; they learn about word origins, prefixes, and suffixes which helps in spelling and vocabulary. Speaking/Listening: Grade 5 students improve public speaking skills – they might do longer presentations (5 minutes), perhaps with visual aids, on research projects. They are taught to speak clearly, at a good pace, and to maintain audience interest (making eye contact, using expression). Group discussions are more sophisticated; students learn to build on each other’s ideas, disagree politely, and summarize points of consensus or contention. They also practice role-play or debates on topics (for instance, a classroom debate on a school issue like homework – learning to articulate arguments and rebuttals). Overall: By the end of Grade 5, students are approaching a secondary-school level of literacy. They can read complex texts and analyze literary devices. Their writing is more mature and varied, showing voice and effective organization. They can express and defend opinions, and they handle the English language with confidence across speaking, writing, and reading. This prepares them for the demands of Grade 6 and the Cambridge Checkpoint assessment that follows."
5	Mathematics	Yes	"Grade 5 mathematics (Cambridge Stage 5) solidifies advanced primary math skills and prepares students for secondary-level topics. Arithmetic and Calculator Use: By Grade 5, students become confident at using a calculator for complex calculations, but they are also trained to decide when it’s faster to calculate mentally or on paper vs. using a calculator. They routinely work with numbers up to at least 1,000,000 (one million), understanding place value to 6 or more digits. Fractions, Decimals, and Percentages: This is a major focus. Students learn to add and subtract fractions with unlike denominators (simple cases, like 1/2 + 1/3 by finding a common denominator of 6). They learn to multiply fractions by whole numbers (e.g. 3 × 2/5) and possibly start dividing whole numbers by simple fractions conceptually. They become fluent in converting fractions to decimals and vice versa (e.g. 3/4 = 0.75, 1/8 = 0.125). They also learn percentages and how they relate to fractions and decimals (e.g. 50% = 0.5 = 1/2). By year’s end, they solve problems involving finding a percentage of a quantity (like 20% of 150) either by fraction/decimal conversion or using ratio reasoning. Ratio and Proportion: Grade 5 introduces the concept of ratio – students might solve simple ratio problems (if 1 red bead to 2 blue beads is a ratio, how many blue in a set of 3 red?). They also use fractions to describe proportions (e.g. “1 out of 4” as a probability or ratio in simple contexts). Multiplication & Division: Students extend to multiplying larger numbers (up to 4-digit × 2-digit) and dividing larger numbers (up to 4-digit by 1 or 2-digit divisors). They practice long division with remainders and start interpreting remainders in word problems (e.g. when dividing 13 by 4, the answer can be 3 remainder 1, or 3.25, or “3 buses needed with 1 bus partially filled” depending on context). They also likely encounter prime numbers, prime factorization, and tests of divisibility (like by 3 or 9). Angles and Geometry: Students measure and draw angles with a protractor accurately, and learn properties of triangles (sum of angles = 180°) and quadrilaterals (sum of angles = 360°) – possibly proving these with paper folding or reasoning. They identify different types of triangles (acute, obtuse, right, equilateral, isosceles, scalene) and quadrilaterals (parallelogram, rhombus, trapezoid). They explore circles: maybe learn parts of a circle (radius, diameter, circumference) and the constant ? in a basic way (some curricula introduce circumference = ?d in 5th or 6th grade). Measurement: Conversions become more complex (like cm² to m² might be too advanced, but definitely converting between metric units in multistep problems, and maybe between metric and imperial if relevant). Volume of solids might be introduced (counting cubes, then the formula for volume of a rectangular prism = length×width×height). They also solve problems involving time (like elapsed time across AM/PM or durations in hours and minutes) with more ease. Geometry – Nets and Visualization: They continue working with 3D shapes and nets, possibly identifying nets for cubes, prisms, and pyramids, and visualizing 3D objects from 2D drawings. Data and Averages: Students handle more data – constructing and interpreting line graphs and more complex bar charts, maybe pie charts (circle graphs) conceptually via fractions of a circle. They learn the concept of mean (average) explicitly, and perhaps median and mode by arranging data. Probability might be introduced as basic chance (like probability of a coin toss = 1/2, etc.). By the end of Grade 5, students should be able to tackle multi-step real-world problems (e.g. involving calculations with money, such as finding the total cost after a percentage discount), logically choose operations, and justify their reasoning. They have integrated whole number operations with fractions, decimals, and percents, and they’ve built a strong foundation for algebraic thinking (though formal algebra might come in Grade 6). They are ready for more abstract math concepts and problem-solving at the Grade 6/Checkpoint level."
5	Science	Yes	"In Grade 5 science (Cambridge Stage 5), students explore more advanced topics and synthesize concepts across biology, chemistry, physics, earth science, etc. Biology – Plant Life Cycles: Students discover the full life cycle of plants in depth. They learn how flowering plants reproduce: pollination (transfer of pollen by insects or wind), fertilization (pollen meets ovule), seed formation and dispersal, and germination into new plants. They might dissect a flower (like a lily) to identify stamens, pistil, etc., and observe seeds. They also study plant propagation methods (how some plants grow from cuttings, etc.). Biology – Human & Animal Life Cycles: While plant life cycles are a focus, they may also revisit animal life cycles (e.g. life cycle of a frog, butterfly) and compare them. Possibly early puberty changes or human life stages are introduced at this age to prepare for health education (depending on curriculum). Earth & Space Science: Grade 5 often introduces astronomy. Students learn about the Earth’s rotation and revolution and how these cause day/night and seasons. They study the solar system – names and order of planets, basic characteristics of each (inner rocky vs. outer gas giants), and historical figures like Galileo or current space exploration. They learn the moon’s phases qualitatively and eclipses perhaps conceptually. They might also learn how the Earth’s rotation axis tilt causes seasons. The curriculum might include contributions of scientists who studied space (Galileo, Copernicus) to link science and history. Physics – Light: Light is often covered extensively in Grade 5. Students experiment with light: reflection (using mirrors, the law of reflection conceptually), refraction (bending of light in water or through prisms leading to rainbows). They learn that white light can split into colors (spectrum) and how lenses work (concave/convex basics, maybe building a simple telescope). Physics – Forces: Building on previous knowledge, they tackle more on forces such as gravity, and how it acts at a distance (they might learn acceleration due to gravity qualitatively and that it’s what causes things to fall). They examine forces in machines – perhaps simple machines (lever, pulley, inclined plane) to see how forces can be used to make work easier. Chemistry – States of Matter & Changes: They deepen understanding of changes of state by focusing on evaporation and condensation in detail (linking to the water cycle), and maybe boiling vs. evaporation differences. Solutions and mixtures are typically a Grade 5 topic: students learn what a solution is (salt in water), how some substances dissolve and others do not, and methods to separate mixtures (filtration, evaporation of water to get salt, etc.). This leads to understanding of reversible vs irreversible changes – burning and rusting are irreversible (new substances formed), dissolving or changing state are reversible (no new substance). Science Skills: Students plan and conduct more independent experiments. They identify variables (even if not using the term formally, they grasp changing one factor at a time). They take measurements with greater accuracy using appropriate instruments (e.g. measuring cylinder for volume, thermometer for temperature, stopwatch for time) and record them in tables. They begin to plot line graphs of their results where appropriate (especially for continuous data like temperature change over time). Importantly, they learn to use their results to make conclusions and also to say whether their results were what they expected or if something was anomalous. They might even suggest improvements to experiments. Scientific History & People: The curriculum often includes mention of famous scientists and their discoveries in context (like Newton for gravity/prisms, Galileo for astronomy, Marie Curie for radioactivity if touching atomic theory basics, etc.) to humanize science learning. By the end of Grade 5, students have a broad foundation in science: they understand life processes (particularly plant biology), Earth’s place in the solar system, foundational principles of light and matter, and have well-developed investigative skills. They are capable of linking concepts (like evaporation in both water cycle and separating solutions) and are prepared for the final stage of primary science which often synthesizes and reviews these topics with added complexity."
5	Global Perspectives (Cambridge)	No	"In Stage 5 Global Perspectives, students take greater initiative in identifying and researching issues of global importance, and their skill development in the six strands (research, analysis, evaluation, reflection, collaboration, communication) becomes more advanced. Project Work: A hallmark of Stage 5 is that students might undertake a sustained project over a few weeks. For example, a challenge could be “Rich and Poor” where they investigate differences in living standards. As part of this, a group might research access to clean water in different countries. Research: Students learn to formulate questions to guide their inquiry (e.g. “What are the causes of water scarcity and how does it affect children’s lives in different parts of the world?”). They use multiple sources – perhaps library books, interviews (e.g. asking a NGO worker or watching an interview online), and the internet – and learn to record information (taking notes, keeping track of sources). Analysis: They handle data like simple statistics or graphs about their topic and interpret what the data shows (e.g. creating a bar chart of different countries’ access to clean water and discussing which regions are most affected). Evaluation: A new emphasis at Stage 5 is evaluating sources and evidence. Students are taught to distinguish between fact and opinion and to consider whether a source is reliable or biased (for instance, they might compare information from a charity’s website vs. a random person’s blog). They learn to spot if the evidence supports an argument or if more information is needed. Collaboration: At this stage, groups might divide tasks (one student compiles survey data, another writes a summary, another prepares visuals) and then come back together, requiring good coordination. They often collaborate not just within their class but possibly with students in another school or country (some GP challenges encourage cross-cultural collaboration, perhaps via email or video chat, to exchange information). Communication: Students produce more polished outputs: maybe a written report with sections, or an oral presentation with a slideshow, or even a short video or skit to communicate their findings. They practice persuasive communication if their project involves advocating for something (like convincing others why conservation is needed). Reflection: By Grade 5, students thoughtfully reflect on what they have learned from their project about the issue and about working with others. They might write a short reflection or have a discussion on questions like “What was the biggest challenge in our research? What would we do differently next time? How has our view on this global issue changed?” Content: Topics in Stage 5 often get more complex – e.g. globalization, law and justice, sustainable living, etc., presented in an age-appropriate way. Students are encouraged to connect personal actions to global effects (like how their recycling or energy use relates to global environmental issues). By the end of Stage 5, students are much more adept at handling an inquiry from start to finish. They demonstrate critical thinking by not just gathering facts but questioning them. They can collaborate effectively, even negotiating differences in approach or opinion within their team. These skills set them up for the final primary stage, Stage 6, where they’ll do a Checkpoint assessment team project to showcase their Global Perspectives skills."
5	Computing / ICT	No	"Grade 5 computing often bridges the gap between simple coding and more structured programming, and between basic ICT skills and more sophisticated use of technology. Computer Science (Coding): Students may start using a text-based programming environment or a more complex block-based environment. If continuing with Scratch, they create more complex projects that might use variables for more purposes (counters, timers), conditionals with multiple cases, and possibly functions (custom blocks) to organize code. They might program simple simulations or games – for example, a quiz game that uses randomization, or an animation that responds to user inputs. Some curricula introduce Python or a similar text language at a basic level in Grade 5 or 6, to ease the transition to secondary school programming; thus Grade 5 could involve writing very simple Python scripts (like printing text, doing basic math, using loops to draw shapes with turtle graphics). Algorithms and Logical Thinking: Students learn to trace code and predict outcomes for moderately complex programs. They also learn about algorithm design more formally – perhaps using flowcharts or pseudocode to plan out a program’s logic before coding. Data and Spreadsheets: On the ICT side, Grade 5 might involve using spreadsheets to perform calculations and analyze data. Students can enter a data set and use formulas (like SUM, AVERAGE) to compute results, create charts from the data, and interpret them. This ties into math and science data handling. Internet and Information Literacy: By this age, students often undertake more independent online research for projects. They learn how search engines rank results, how to refine searches with quotes or keywords, and how to assess credibility of sites (looking at domain, author, date, etc.). They also discuss ethical/legal issues like plagiarism – learning to summarize and cite sources rather than copy-paste – and basic copyright (why we can’t just use any image we find, introduction to Creative Commons or fair use in simple terms). Digital Content Creation: Students might engage in a larger multimedia project, like creating a short documentary video or a website (using a kid-friendly website builder or simple HTML) about a topic. This integrates skills: writing a script, recording audio/video, editing (perhaps using basic video editing software), and publishing/presenting it. Or they might create a small website with multiple pages hyperlinked together to share information. Cybersecurity & Ethics: Grade 5 could introduce concepts of cyber safety beyond basics: like understanding computer viruses/malware and the importance of not downloading unknown files; discussing safe social media use (even if they are not of age, many know about it, so teaching about privacy settings, not sharing personal info/pictures with strangers, etc.); and positive digital footprint (what you post online can stay and impact you later). Possibly they also cover very basic coding of encryption (like making ciphers) to illustrate data protection ideas. By the end of Grade 5, students should be relatively independent and savvy technology users. They can choose the right software/tools to accomplish a task (e.g. using a slide presentation vs. a document vs. a video to present information), and they can write and debug programs at a beginner-intermediate level, showcasing logical reasoning. They’re aware of the broader impact of technology and their responsibilities as users (ethical and safe use). These competencies ensure they are well-prepared for the final primary year and beyond, where they might take on even more challenging computing tasks or integrate technology heavily in other subjects."
5	Art & Design	No	"In Grade 5, art students are on the verge of more advanced art-making and art appreciation, often producing work that is noticeably more skilled and personal. Advanced Techniques: Students refine techniques like shading (using cross-hatching, stippling for pen/pencil drawings), perspective (two-point perspective drawings of cubes, buildings, streets), and proportion (drawing from life – e.g. sketching a still life of simple objects or a basic figure drawing from a posed model or classmate). They learn to use grids or guidelines to help with scale and proportion in complex drawings. Mediums: They may explore new mediums like acrylic paints on canvas (learning about blending and layering), charcoal for value studies, or ink and calligraphy (which ties into fine motor control and design). Three-dimensional work could include ceramics – making pottery with proper techniques (pinch pots, coil pots, perhaps trying the potter’s wheel if available) and then glazing and firing them, which teaches planning (since glaze colors change after firing) and patience. Design and Composition: Grade 5 emphasizes thoughtful composition – students learn about the elements of art (line, shape, form, color, texture, space, value) and principles of design (balance, contrast, emphasis, movement, pattern, rhythm, unity) more formally, and are expected to apply them. For example, they might be tasked to create a balanced composition with a clear focal point, or use contrast of warm/cool colors effectively in a painting. Art History and Analysis: Students might do deeper studies of art movements. For example, they could study Impressionism (Monet, Degas) and then create an impressionist-style painting of their school garden, focusing on light and color. Or examine Renaissance art vs. Modern art differences. They might also look at Greek art more deeply if tied to history class (like studying Byzantine mosaics in Grade 5 history and then creating a paper mosaic, or learning about the Parthenon’s friezes and attempting bas-relief sculptures). Students practice writing or verbalizing their thoughts on art: by end of Grade 5 they might write a short paragraph analyzing an artwork, mentioning how the artist used color or what feeling the artwork gives and why. Collaborative and Portfolio Work: Some programs might have students engage in a collaborative mural or group art project in Grade 5, which teaches cooperation in art and collective design planning. Also, students often start building a portfolio of their best works, learning to select and present their artwork effectively (which pieces to include, how to mount or display them, etc.). Personal Expression: There’s encouragement of personal style – students might get more open-ended assignments where they choose the subject and medium to express a theme (like “change” or “dreams”), utilizing techniques they’ve learned. By the end of Grade 5, students can create artwork with a clear intent and fairly strong technical execution for their age. They can discuss art using proper terminology (identifying techniques and elements used) and show appreciation for various art styles and cultural art forms. They are essentially being groomed to approach art more like young artists – with planning, skill, and reflection – which sets them up for even more independent art creation in Grade 6 and beyond."
5	Music	No	"By Grade 5, students function akin to members of a school band or choir in miniature – their musical abilities are quite developed, and they delve into more sophisticated aspects of music. Instrumental Proficiency: If continuing recorder or another instrument, they now play songs spanning an octave plus a few notes (maybe low D to high D on recorder). In many schools, Grade 5 is when a band or string program might start; if so, students begin learning orchestral instruments (clarinet, trumpet, violin, etc.) and by year’s end can play basic scales and simple band pieces. For general class, they might use xylophones or keyboards to learn melodies with harmony (like playing chords on an accompaniment instrument while another group plays melody). Vocal Music: They can sing in two or three-part harmony consistently. The school choir, if any, often has its senior members in Grade 5/6 leading sections. They learn techniques such as breathing from the diaphragm, proper posture, and diction in foreign languages if singing Latin hymns or world songs. They might perform a choral arrangement with harmony and rounds integrated. Theory and Notation: Students understand key signatures and time signatures more deeply. They might identify the key of a piece (C major, G major, etc.) by the key signature. Rhythmically, they handle syncopation and more complex meters (6/8 time or change of meter). They could learn about scales beyond major – perhaps the minor scale (distinguishing its sound as “sadder”) or modes in the context of historical music. They also use notation creatively: composing short pieces (8-16 measures) for an instrument or ensemble and writing them correctly on staff paper, including dynamics and articulations (staccato, legato markings introduced). Music History & Appreciation: Grade 5 might cover historical periods of Western music (Baroque, Classical, Romantic, etc.) in overview – e.g. understanding that Bach was Baroque and the sound of a fugue vs. Mozart in Classical clarity vs. Beethoven’s Romantic emotion. They might also survey music from their own country’s history or from around the world – like studying Greek traditional music, identifying instruments like bouzouki, or learning a traditional dance song. They start to listen to longer works (maybe an entire short movement of a symphony or a simple opera story) and analyze structure (like ABA form, themes, motifs). Technology in Music: They might use simple composition software (like GarageBand or MuseScore) to create a multi-track piece, learning how layering works (e.g. record a drum loop, add a bass line, add a melody). Performance: By the end of Grade 5, students likely participate in a significant performance (like a school concert, musical or talent show), taking on more challenging pieces either instrumentally or vocally. They learn stage presence and ensemble discipline (following a conductor, entering and exiting stage formally, etc.). They might also do small group performances (trios, quartets) to cultivate independence from the teacher’s lead. Overall: Grade 5 musicians have a strong foundational theory knowledge, can perform with confidence in various settings, and have been exposed to a breadth of musical genres. They can critique music with understanding (e.g. “The tempo of this piece is very fast (allegro) which gives it a happy, energetic mood”). They are well-prepared for the final year of primary music, which often consolidates these skills and readies them for any specialized music endeavors in secondary school."
5	Physical Education (PE)	No	"Grade 5 PE often serves as a culmination of the skills learned so far, with students reaching a high level of proficiency in many movements and engaging in more competitive and endurance-based activities. Sports Competence: By Grade 5, students can play regulation games (modified for age) of various sports. They learn positions and strategies in team sports: for example, in soccer they understand positioning (defenders vs. forwards) and strategy (passing triangles, offside rule introduction); in basketball they practice set plays (simple pick-and-roll or inbound plays) and man-to-man or basic zone defense; in volleyball, they learn to serve underhand consistently and attempt three-hit play (bump, set, spike patterns) even if simplified. Many schools have interscholastic or intramural competitions around this age, so students might train for track and field events, swim meets, or team sports tournaments. Physical Fitness & Endurance: Students in Grade 5 work on endurance – e.g. running a mile (approximately 1.6 km) and timing it, then trying to improve; doing sustained aerobic activities like a 15-minute continuous game or jog. They might do fitness circuits with exercises like push-ups, sit-ups, burpees, and record their repetitions, seeing improvement over time. The concept of personal fitness goals is reinforced, possibly introducing fitness testing (like the beep test for running endurance, flexibility tests like sit-and-reach, etc.). Advanced Skills: Gymnastics might include linking moves into a routine on apparatus: e.g. doing a small sequence on a higher balance beam (walk, arabesque, small jump, dismount), or combining tumbling passes on floor (cartwheel into round-off). In dance, they might learn a full choreographed dance (possibly for a school performance) that includes different formations and more intricate steps (maybe a cultural dance with many steps or a modern hip-hop routine with synchronization). Health Education: Many programs integrate formal health ed in Grade 5. Topics can include the basics of human anatomy and changes during puberty (separating boys/girls for more sensitive discussions), nutrition in detail (understanding food groups, reading nutrition labels, what a balanced meal looks like), and introduction to harmful substances (why not to smoke, etc.). They also address personal health choices: sleep, stress management (maybe relaxation exercises or yoga introduced). Leadership and Teamwork: Grade 5 students are often given leadership opportunities in PE. They might lead warm-ups for the class, or be captains who not only play but help organize teams and mentor younger students (some schools have Grade 5 assist with Grade 1 events in sports days, for example). They are expected to exemplify sportsmanship and encourage their peers. Safety and Injury Prevention: They learn more about how to prevent and respond to injuries – e.g. RICE method (rest, ice, compression, elevation) for sprains, the importance of stretching and warm-up to prevent injury, and maybe an intro to first aid basics (like how to clean a small cut, why we need to hydrate to avoid heat exhaustion). By the end of Grade 5, students are quite athletic and understand how to maintain their physical fitness. They have a positive attitude toward physical activity, seeing it as both fun and important for health. They can compete fairly, handle wins and losses with maturity, and often identify one or two sports or activities they might want to continue with more seriously (setting the stage for either competitive sports or active hobbies in their teenage years). They also leave Grade 5 with knowledge on how their bodies work and how to care for them, which is crucial as they approach adolescence."
